order_id,order_date,customer,region,city,product,category,quantity,unit_price,discount,revenue,cost,profit,sales_channel
"SO-10001","2026-01-01","Harbor Trading","Greater Cairo","Cairo","Pulse Support","Services","8","129","0","1032","464.4","567.6","Direct"
"SO-10002","2026-01-02","Pyramids Health","Delta","Mansoura","Orbit CRM","Software","7","289","0","2023","647.36","1375.64","Online"
"SO-10003","2026-01-03","Meridian Hotels","Canal","Ismailia","Pulse Support","Services","6","129","0","774","348.3","425.7","Partner"
"SO-10004","2026-01-04","Vertex Labs","North","Alexandria","Orbit CRM","Software","5","289","0","1445","462.4","982.6","Direct"
"SO-10005","2026-01-05","Cedar Logistics","Greater Cairo","Cairo","Pulse Support","Services","4","129","0.06","485.04","232.2","252.84","Online"
"SO-10006","2026-01-06","Canal Industries","Delta","Mansoura","Orbit CRM","Software","3","289","0","867","277.44","589.56","Partner"
"SO-10007","2026-01-07","Delta Foods","Canal","Ismailia","Pulse Support","Services","2","129","0","258","116.1","141.9","Direct"
"SO-10008","2026-01-08","Nile Retail Group","North","Alexandria","Orbit CRM","Software","1","289","0","289","92.48","196.52","Online"
"SO-10009","2026-01-09","Harbor Trading","Greater Cairo","Cairo","Pulse Support","Services","8","129","0.12","908.16","464.4","443.76","Partner"
"SO-10010","2026-01-10","Pyramids Health","Delta","Mansoura","Orbit CRM","Software","7","289","0.06","1901.62","647.36","1254.26","Direct"
"SO-10011","2026-01-11","Meridian Hotels","Canal","Ismailia","Pulse Support","Services","6","129","0","774","348.3","425.7","Online"
"SO-10012","2026-01-12","Vertex Labs","North","Alexandria","Orbit CRM","Software","5","289","0","1445","462.4","982.6","Partner"
"SO-10013","2026-01-13","Cedar Logistics","Greater Cairo","Cairo","Pulse Support","Services","4","129","0","516","232.2","283.8","Direct"
"SO-10014","2026-01-14","Canal Industries","Delta","Mansoura","Orbit CRM","Software","3","289","0","867","277.44","589.56","Online"
"SO-10015","2026-01-15","Delta Foods","Canal","Ismailia","Pulse Support","Services","2","129","0.06","242.52","116.1","126.42","Partner"
"SO-10016","2026-01-16","Nile Retail Group","North","Alexandria","Orbit CRM","Software","1","289","0","289","92.48","196.52","Direct"
"SO-10017","2026-01-17","Harbor Trading","Greater Cairo","Cairo","Pulse Support","Services","8","129","0","1032","464.4","567.6","Online"
"SO-10018","2026-01-18","Pyramids Health","Delta","Mansoura","Orbit CRM","Software","7","289","0.12","1780.24","647.36","1132.88","Partner"
"SO-10019","2026-01-19","Meridian Hotels","Canal","Ismailia","Pulse Support","Services","6","129","0","774","348.3","425.7","Direct"
"SO-10020","2026-01-20","Vertex Labs","North","Alexandria","Orbit CRM","Software","5","289","0.06","1358.3","462.4","895.9","Online"
"SO-10021","2026-01-21","Cedar Logistics","Greater Cairo","Cairo","Pulse Support","Services","4","129","0","516","232.2","283.8","Partner"
"SO-10022","2026-01-22","Canal Industries","Delta","Mansoura","Orbit CRM","Software","3","289","0","867","277.44","589.56","Direct"
"SO-10023","2026-01-23","Delta Foods","Canal","Ismailia","Pulse Support","Services","2","129","0","258","116.1","141.9","Online"
"SO-10024","2026-01-24","Nile Retail Group","North","Alexandria","Orbit CRM","Software","1","289","0","289","92.48","196.52","Partner"
"SO-10025","2026-01-25","Harbor Trading","Greater Cairo","Cairo","Pulse Support","Services","8","129","0.06","970.08","464.4","505.68","Direct"
"SO-10026","2026-01-26","Pyramids Health","Delta","Mansoura","Orbit CRM","Software","7","289","0","2023","647.36","1375.64","Online"
"SO-10027","2026-01-27","Meridian Hotels","Canal","Ismailia","Pulse Support","Services","6","129","0.12","681.12","348.3","332.82","Partner"
"SO-10028","2026-01-28","Vertex Labs","North","Alexandria","Orbit CRM","Software","5","289","0","1445","462.4","982.6","Direct"
"SO-10029","2026-02-01","Cedar Logistics","Greater Cairo","Cairo","Atlas Suite","Software","4","629","0","2516","956.08","1559.92","Online"
"SO-10030","2026-02-02","Canal Industries","Delta","Mansoura","Beacon BI","Software","3","449","0.06","1266.18","471.45","794.73","Partner"
"SO-10031","2026-02-03","Delta Foods","Canal","Ismailia","Atlas Suite","Software","2","629","0","1258","478.04","779.96","Direct"
"SO-10032","2026-02-04","Nile Retail Group","North","Alexandria","Beacon BI","Software","1","449","0","449","157.15","291.85","Online"
"SO-10033","2026-02-05","Harbor Trading","Greater Cairo","Cairo","Atlas Suite","Software","8","629","0","5032","1912.16","3119.84","Partner"
"SO-10034","2026-02-06","Pyramids Health","Delta","Mansoura","Beacon BI","Software","7","449","0","3143","1100.05","2042.95","Direct"
"SO-10035","2026-02-07","Meridian Hotels","Canal","Ismailia","Atlas Suite","Software","6","629","0.06","3547.56","1434.12","2113.44","Online"
"SO-10036","2026-02-08","Vertex Labs","North","Alexandria","Beacon BI","Software","5","449","0.12","1975.6","785.75","1189.85","Partner"
"SO-10037","2026-02-09","Cedar Logistics","Greater Cairo","Cairo","Atlas Suite","Software","4","629","0","2516","956.08","1559.92","Direct"
"SO-10038","2026-02-10","Canal Industries","Delta","Mansoura","Beacon BI","Software","3","449","0","1347","471.45","875.55","Online"
"SO-10039","2026-02-11","Delta Foods","Canal","Ismailia","Atlas Suite","Software","2","629","0","1258","478.04","779.96","Partner"
"SO-10040","2026-02-12","Nile Retail Group","North","Alexandria","Beacon BI","Software","1","449","0.06","422.06","157.15","264.91","Direct"
"SO-10041","2026-02-13","Harbor Trading","Greater Cairo","Cairo","Atlas Suite","Software","8","629","0","5032","1912.16","3119.84","Online"
"SO-10042","2026-02-14","Pyramids Health","Delta","Mansoura","Beacon BI","Software","7","449","0","3143","1100.05","2042.95","Partner"
"SO-10043","2026-02-15","Meridian Hotels","Canal","Ismailia","Atlas Suite","Software","6","629","0","3774","1434.12","2339.88","Direct"
"SO-10044","2026-02-16","Vertex Labs","North","Alexandria","Beacon BI","Software","5","449","0","2245","785.75","1459.25","Online"
"SO-10045","2026-02-17","Cedar Logistics","Greater Cairo","Cairo","Atlas Suite","Software","4","629","0.12","2214.08","956.08","1258","Partner"
"SO-10046","2026-02-18","Canal Industries","Delta","Mansoura","Beacon BI","Software","3","449","0","1347","471.45","875.55","Direct"
"SO-10047","2026-02-19","Delta Foods","Canal","Ismailia","Atlas Suite","Software","2","629","0","1258","478.04","779.96","Online"
"SO-10048","2026-02-20","Nile Retail Group","North","Alexandria","Beacon BI","Software","1","449","0","449","157.15","291.85","Partner"
"SO-10049","2026-02-21","Harbor Trading","Greater Cairo","Cairo","Atlas Suite","Software","8","629","0","5032","1912.16","3119.84","Direct"
"SO-10050","2026-02-22","Pyramids Health","Delta","Mansoura","Beacon BI","Software","7","449","0.06","2954.42","1100.05","1854.37","Online"
"SO-10051","2026-02-23","Meridian Hotels","Canal","Ismailia","Atlas Suite","Software","6","629","0","3774","1434.12","2339.88","Partner"
